N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
Model1,500,1,1,0.854785878927575,0.8905030196438264,0.866295995806045,0.7416467780429594,0.582520684652247,0.6385802208708392
Model2,500,2,1,0.9004003396821546,0.9003276017534216,0.898236714402251,0.6795942720763724,0.7531046401661577,0.7062545642918123
Model3,500,3,1,0.8111124590561689,0.8928675717469667,0.8386137348297177,0.6891408114558473,0.5711724176081773,0.5833610466829231
Model4,500,1,2,0.8989445590197743,0.9090637783211152,0.900037884778082,0.7458233890214797,0.704982863876948,0.7064475650343769
Model5,500,2,2,0.9127744753123863,0.915554256104085,0.9106445448550226,0.7130071599045346,0.7782917884018844,0.7285156599044608
Model6,500,3,2,0.9074366128836588,0.9049104891876036,0.904609771145732,0.6957040572792362,0.77124343176713,0.7263022065903422
Model7,800,1,2,0.9143515710299648,0.9111744660007846,0.9111300430059713,0.6909307875894988,0.7905216839988625,0.7335801935726439
Model8,800,2,2,0.8993085041853695,0.9089399832850499,0.9015203968703294,0.7464200477326969,0.7025633739874318,0.7122442825353777
Model9,800,3,2,0.8230013344656072,0.9025905478047963,0.85181591741478,0.7965393794749404,0.6012102599709577,0.6691556814867026
